id_cliente,nombre_cliente,provincia,localidad,categoria_cliente
43,Agustín Acosta,Formosa,Comandante Fontana,restaurante
44,María Álvarez,Misiones,Eldorado,kiosco
45,Noelia Valdez,Chaco,Barranqueras,distribuidor
46,Ariel Pérez,Chaco,Barranqueras,almacén
47,Valeria Cardozo,Chaco,Las Breñas,kiosco
48,Nicolás Acosta,Corrientes,Saladas,distribuidor
49,Dario Medina,Formosa,Ibarreta,restaurante
50,Jorge Villalba,Corrientes,Mercedes,kiosco
51,Ezequiel Villalba,Misiones,Aristóbulo del Valle,restaurante
52,Federico Torres,Corrientes,Bella Vista,kiosco
53,Rocío López,Corrientes,Goya,almacén
54,Juan Villalba,Chaco,Puerto Vilelas,supermercado
55,Federico Rojas,Misiones,Montecarlo,supermercado
56,Noelia Medina,Misiones,Puerto Iguazú,almacén
57,Aldana Suárez,Formosa,Las Lomitas,kiosco
58,Luis Gutiérrez,Formosa,Formosa,restaurante
59,Florencia Ramírez,Corrientes,Curuzú Cuatiá,distribuidor
60,Ana Martínez,Chaco,Resistencia,kiosco
61,Cintia Pérez,Chaco,Charata,almacén
62,Dario Vera,Formosa,Las Lomitas,supermercado
63,Rocío Rojas,Chaco,Las Breñas,restaurante
64,Romina Martínez,Formosa,Pirané,almacén
65,Florencia Martínez,Misiones,Leandro N. Alem,supermercado
66,María Torres,Corrientes,Goya,restaurante
67,Maximiliano Pérez,Chaco,Fontana,supermercado
68,Diego Torres,Misiones,Leandro N. Alem,distribuidor
69,Noelia Benítez,Corrientes,Goya,supermercado
70,Ariel Romero,Misiones,Montecarlo,almacén
71,Ariel Gómez,Chaco,Puerto Vilelas,kiosco
72,Florencia Duarte,Formosa,Formosa,distribuidor
73,Valeria Suárez,Misiones,Aristóbulo del Valle,kiosco
74,Aldana Fernández,Misiones,Posadas,kiosco
75,Nicolás López,Corrientes,Goya,kiosco
76,Daniel Martínez,Formosa,Ibarreta,restaurante
77,Daniel Castro,Formosa,El Colorado,supermercado
78,José Silva,Chaco,General San Martín,restaurante
79,Juan Gutiérrez,Formosa,El Colorado,distribuidor
80,Esteban Gutiérrez,Misiones,Oberá,restaurante
81,Ezequiel Sosa,Chaco,Presidencia Roque Sáenz Peña,kiosco
82,Ivana Ramírez,Formosa,Pirané,almacén
83,Juan Vera,Chaco,Quitilipi,restaurante
84,Rocío Vera,Corrientes,Curuzú Cuatiá,almacén
85,Noelia Franco,Misiones,San Vicente,supermercado
86,Rocío Vera,Formosa,Ibarreta,kiosco
87,María Vera,Chaco,Charata,distribuidor
88,Cintia Villalba,Formosa,Laguna Blanca,almacén
89,Daniel Ramírez,Formosa,Pirané,supermercado
90,Brenda Cardozo,Corrientes,Bella Vista,supermercado
91,Ana Gómez,Chaco,Villa Ángela,supermercado
92,Florencia Suárez,Misiones,Eldorado,distribuidor
93,Carlos Silva,Chaco,Puerto Vilelas,supermercado
94,Elena Pérez,Corrientes,Curuzú Cuatiá,supermercado
95,Ezequiel Suárez,Misiones,Puerto Iguazú,almacén
96,Marta Rojas,Chaco,Puerto Vilelas,restaurante
97,Gabriel Silva,Formosa,Ibarreta,supermercado
98,Juan García,Corrientes,Paso de los Libres,distribuidor
99,Rocío Benítez,Formosa,Clorinda,almacén
100,Nadia Duarte,Chaco,Presidencia Roque Sáenz Peña,kiosco
101,María Rojas,Chaco,Villa Ángela,restaurante
102,Florencia Cardozo,Corrientes,Esquina,distribuidor
103,Cintia Sosa,Chaco,Fontana,supermercado
104,Brenda Acosta,Corrientes,Bella Vista,kiosco
105,Daniel Castro,Misiones,Eldorado,kiosco
106,Gabriel Domínguez,Chaco,Quitilipi,supermercado
107,Mario Romero,Misiones,Aristóbulo del Valle,restaurante
108,Romina Torres,Chaco,Las Breñas,supermercado
109,Marta García,Chaco,Presidencia Roque Sáenz Peña,restaurante
110,Daniel Aguirre,Formosa,Pirané,supermercado
111,Gabriel Villalba,Corrientes,Saladas,supermercado
112,Aldana Franco,Corrientes,Corrientes,kiosco
113,Laura Acosta,Formosa,Herradura,kiosco
114,Ana Torres,Misiones,Puerto Iguazú,restaurante
115,José Medina,Chaco,Resistencia,restaurante
116,Mario Duarte,Formosa,Pirané,kiosco
117,Aldana Villalba,Misiones,Posadas,almacén
118,Nadia Villalba,Corrientes,Bella Vista,almacén
119,Mario Fernández,Corrientes,Esquina,distribuidor
120,Ariel Gutiérrez,Chaco,General San Martín,almacén
121,Federico Molina,Formosa,Comandante Fontana,almacén
122,Lucía Silva,Chaco,Charata,distribuidor
123,Gabriel Aguirre,Formosa,Comandante Fontana,distribuidor
124,Carlos Acosta,Formosa,Herradura,distribuidor
125,Gabriel Aguirre,Formosa,Riacho He-Hé,distribuidor
126,Damián Valdez,Chaco,Resistencia,kiosco
127,Federico Álvarez,Chaco,Resistencia,distribuidor
128,Julieta Villalba,Formosa,Pirané,distribuidor
129,Ariel Villalba,Chaco,Puerto Vilelas,restaurante
130,Nicolás Fernández,Formosa,Ibarreta,kiosco
131,Daniel Álvarez,Formosa,Comandante Fontana,distribuidor
132,Daniel Suárez,Formosa,Clorinda,distribuidor
133,Nicolás Ramírez,Misiones,Leandro N. Alem,restaurante
134,José Silva,Formosa,Comandante Fontana,distribuidor
135,María Benítez,Corrientes,Curuzú Cuatiá,restaurante
136,Ana Medina,Misiones,Oberá,distribuidor
137,Elena Pérez,Misiones,Eldorado,distribuidor
138,María Villalba,Formosa,Laguna Blanca,restaurante
139,Diego Romero,Formosa,Laguna Blanca,distribuidor
140,Federico Suárez,Misiones,San Vicente,supermercado
141,Marta Pérez,Formosa,Ibarreta,restaurante
142,Diego Romero,Misiones,Puerto Iguazú,supermercado
143,Sofía Gutiérrez,Chaco,Puerto Vilelas,kiosco
144,Maximiliano Aguirre,Corrientes,Esquina,distribuidor
145,Luis Domínguez,Chaco,Quitilipi,almacén
146,Luis Medina,Formosa,Comandante Fontana,supermercado
147,Aldana Castro,Corrientes,Esquina,supermercado
148,Cintia López,Misiones,Oberá,kiosco
149,Diego Sosa,Chaco,Fontana,kiosco
150,Ariel Suárez,Corrientes,Curuzú Cuatiá,almacén
151,Brenda Valdez,Chaco,General San Martín,kiosco
152,Mario Suárez,Formosa,El Colorado,restaurante
153,Esteban Cardozo,Chaco,General San Martín,restaurante
154,Julieta Duarte,Chaco,General San Martín,almacén
155,Ivana Molina,Misiones,Posadas,supermercado
156,Cintia Sosa,Misiones,Montecarlo,supermercado
157,Daniel Molina,Chaco,Las Breñas,supermercado
158,Mario Sosa,Misiones,San Vicente,supermercado
159,Gabriel Romero,Corrientes,Ituzaingó,almacén
160,Elena Martínez,Formosa,Ibarreta,kiosco
161,Laura Fernández,Formosa,Pirané,distribuidor
162,Nadia Franco,Misiones,Apóstoles,restaurante
163,Gabriel Franco,Misiones,Montecarlo,kiosco
164,Juan Aguirre,Chaco,Presidencia Roque Sáenz Peña,kiosco
165,Agustín García,Formosa,Las Lomitas,kiosco
166,Laura Cardozo,Formosa,Pirané,kiosco
167,Maximiliano Suárez,Misiones,Aristóbulo del Valle,distribuidor
168,María Valdez,Formosa,El Colorado,kiosco
169,Mario Torres,Chaco,Barranqueras,kiosco
170,Ana Vera,Misiones,Puerto Iguazú,supermercado
171,Jorge Romero,Formosa,Pirané,kiosco
172,Valeria Gutiérrez,Chaco,General San Martín,kiosco
173,Ezequiel Medina,Chaco,Resistencia,restaurante
174,Nadia Gómez,Misiones,Montecarlo,almacén
175,Ariel Duarte,Formosa,Pirané,distribuidor
176,Daniel Valdez,Formosa,Comandante Fontana,kiosco
177,Ezequiel Aguirre,Misiones,San Vicente,kiosco
178,Ana Valdez,Chaco,Quitilipi,kiosco
179,Pablo Molina,Misiones,Jardín América,almacén
180,Elena Silva,Corrientes,Corrientes,supermercado
181,Maximiliano Cardozo,Misiones,Puerto Iguazú,almacén
182,Ivana Valdez,Corrientes,Mercedes,kiosco
183,Ivana Castro,Corrientes,Corrientes,distribuidor
184,José Romero,Misiones,Jardín América,distribuidor
185,Valeria Romero,Misiones,Posadas,almacén
186,Valeria Gutiérrez,Formosa,Pirané,almacén
187,Diego López,Corrientes,Goya,supermercado
188,Brenda Vera,Formosa,Riacho He-Hé,distribuidor
189,Noelia Martínez,Corrientes,Paso de los Libres,distribuidor
190,Ana Benítez,Formosa,Clorinda,distribuidor
191,Brenda Pérez,Misiones,Puerto Iguazú,distribuidor
192,Ezequiel Franco,Formosa,Pirané,kiosco
193,María Valdez,Chaco,Quitilipi,distribuidor
194,Ariel Silva,Chaco,Villa Ángela,distribuidor
195,Brenda Silva,Chaco,Quitilipi,supermercado
196,Cintia Martínez,Chaco,Resistencia,almacén
197,Dario Silva,Formosa,Riacho He-Hé,restaurante
198,Agustín García,Corrientes,Bella Vista,kiosco
199,Ariel Franco,Formosa,El Colorado,kiosco
200,Julieta Villalba,Chaco,General San Martín,almacén
201,María Benítez,Formosa,Laguna Blanca,restaurante
202,Elena Domínguez,Corrientes,Bella Vista,kiosco
203,Romina Flores,Corrientes,Ituzaingó,kiosco
204,Lucía López,Misiones,Montecarlo,kiosco
205,Pablo Gómez,Chaco,Fontana,kiosco
206,Lucía Rojas,Chaco,General San Martín,restaurante
207,Ezequiel Torres,Corrientes,Saladas,supermercado
208,Ana Medina,Formosa,Herradura,supermercado
209,Cintia Flores,Corrientes,Mercedes,almacén
210,Dario López,Corrientes,Corrientes,distribuidor
211,Laura Sosa,Chaco,Fontana,restaurante
212,José Molina,Formosa,Las Lomitas,supermercado
213,Gabriel Molina,Formosa,Comandante Fontana,almacén
214,Lucía Álvarez,Misiones,Posadas,kiosco
215,Federico López,Formosa,Comandante Fontana,almacén
216,Diego Vera,Chaco,Fontana,distribuidor
217,Jorge Aguirre,Chaco,Las Breñas,supermercado
218,Agustín Franco,Corrientes,Esquina,restaurante
219,María Torres,Formosa,Comandante Fontana,kiosco
220,María Molina,Corrientes,Corrientes,distribuidor
221,Dario Valdez,Corrientes,Saladas,kiosco
222,Damián Gutiérrez,Chaco,General San Martín,restaurante
223,Daniel Gómez,Misiones,Aristóbulo del Valle,almacén
224,Agustín Fernández,Formosa,Comandante Fontana,restaurante
225,Ana Gutiérrez,Chaco,Puerto Vilelas,almacén
226,Laura Vera,Formosa,Formosa,kiosco
227,Federico Gómez,Misiones,Posadas,supermercado
228,Mario Cardozo,Misiones,Eldorado,distribuidor
229,Nicolás Benítez,Misiones,Aristóbulo del Valle,distribuidor
230,Noelia Molina,Misiones,Apóstoles,almacén
231,Rocío Torres,Misiones,Jardín América,supermercado
232,Hernán Villalba,Misiones,Eldorado,kiosco
233,Damián Martínez,Misiones,Apóstoles,supermercado
234,Noelia Franco,Formosa,Herradura,restaurante
235,Noelia López,Misiones,Leandro N. Alem,restaurante
236,María Pérez,Chaco,Resistencia,kiosco
237,Nadia Torres,Misiones,Leandro N. Alem,kiosco
238,Marta Domínguez,Formosa,Herradura,distribuidor
239,Jorge Aguirre,Misiones,Oberá,distribuidor
240,Julieta Álvarez,Corrientes,Curuzú Cuatiá,distribuidor
241,Carlos Romero,Misiones,Puerto Iguazú,kiosco
242,Jorge Gutiérrez,Formosa,Pirané,kiosco
243,Julieta Cardozo,Misiones,Puerto Iguazú,kiosco
244,Dario Flores,Misiones,Jardín América,almacén
245,Ariel Rojas,Corrientes,Esquina,restaurante
246,Juan Villalba,Corrientes,Bella Vista,distribuidor
247,Carlos Villalba,Formosa,Riacho He-Hé,distribuidor
248,Federico Torres,Corrientes,Curuzú Cuatiá,supermercado
249,Dario Sosa,Chaco,Fontana,almacén
250,Maximiliano Acosta,Corrientes,Mercedes,supermercado
251,Julieta Domínguez,Formosa,Las Lomitas,supermercado
252,Elena Pérez,Corrientes,Mercedes,almacén
253,José Castro,Formosa,Formosa,distribuidor
254,Noelia Vera,Corrientes,Mercedes,supermercado
255,Brenda Duarte,Formosa,Las Lomitas,distribuidor
256,José García,Misiones,Posadas,supermercado
257,Lucía Gutiérrez,Formosa,Comandante Fontana,kiosco
258,Valeria López,Misiones,San Vicente,kiosco
259,Nadia Torres,Misiones,Jardín América,almacén
260,Ana Suárez,Misiones,Puerto Iguazú,kiosco
261,Valeria Domínguez,Corrientes,Bella Vista,distribuidor
262,Elena Benítez,Chaco,General San Martín,restaurante
263,Federico Aguirre,Formosa,Clorinda,supermercado
264,Agustín Ramírez,Chaco,Villa Ángela,almacén
265,Ivana Ramírez,Corrientes,Ituzaingó,almacén
266,Julieta Molina,Misiones,Oberá,distribuidor
267,Lucía Duarte,Formosa,Comandante Fontana,restaurante
268,Sofía Sosa,Corrientes,Corrientes,distribuidor
269,Esteban Romero,Corrientes,Ituzaingó,supermercado
270,Noelia Gómez,Formosa,Riacho He-Hé,kiosco
271,Brenda García,Formosa,Herradura,restaurante
272,Gabriel Aguirre,Formosa,Clorinda,almacén
273,Nicolás Álvarez,Formosa,Formosa,restaurante
274,Ivana Álvarez,Misiones,Leandro N. Alem,distribuidor
275,José Torres,Misiones,Posadas,restaurante
276,Maximiliano Vera,Chaco,Villa Ángela,supermercado
277,Julieta López,Chaco,Quitilipi,kiosco
278,Florencia Domínguez,Misiones,Apóstoles,kiosco
279,Brenda Gómez,Corrientes,Bella Vista,supermercado
280,Pablo Suárez,Chaco,Barranqueras,supermercado
281,Sofía Gutiérrez,Misiones,San Vicente,almacén
282,Ariel García,Formosa,Herradura,supermercado
283,Dario Valdez,Formosa,Las Lomitas,distribuidor
284,Dario Franco,Misiones,Apóstoles,restaurante
285,Lucía Ramírez,Chaco,Fontana,kiosco
286,Damián Martínez,Chaco,Presidencia Roque Sáenz Peña,almacén
287,María Cardozo,Chaco,Villa Ángela,almacén
288,Elena Benítez,Formosa,Riacho He-Hé,kiosco
289,Agustín Benítez,Misiones,Posadas,supermercado
290,Julieta Flores,Misiones,Puerto Iguazú,restaurante
291,Federico Silva,Misiones,Posadas,almacén
292,Julieta Molina,Misiones,Apóstoles,supermercado
293,Gabriel Franco,Misiones,San Vicente,supermercado
294,Nicolás Ramírez,Chaco,Las Breñas,kiosco
295,Ana Castro,Chaco,Presidencia Roque Sáenz Peña,restaurante
296,Rocío Silva,Misiones,Apóstoles,supermercado
297,Jorge Gutiérrez,Misiones,Eldorado,distribuidor
298,Pablo Molina,Corrientes,Virásoro,distribuidor
299,María Aguirre,Corrientes,Bella Vista,kiosco
300,Valeria Suárez,Misiones,Leandro N. Alem,almacén
301,Lucía Pérez,Chaco,Presidencia Roque Sáenz Peña,kiosco
302,Federico Martínez,Formosa,El Colorado,almacén
303,Damián Álvarez,Chaco,Quitilipi,kiosco
304,Florencia Flores,Formosa,Laguna Blanca,almacén
305,Marta Cardozo,Misiones,Eldorado,almacén
306,José Franco,Formosa,Las Lomitas,restaurante
307,Carlos Medina,Chaco,Puerto Vilelas,distribuidor
308,María Pérez,Misiones,Leandro N. Alem,supermercado
309,Romina Domínguez,Chaco,Charata,almacén
310,Dario Molina,Misiones,Posadas,distribuidor
311,Juan Medina,Corrientes,Saladas,supermercado
312,Lucía Fernández,Misiones,San Vicente,almacén
313,Federico Medina,Chaco,Puerto Vilelas,supermercado
314,Elena Gutiérrez,Formosa,Ibarreta,supermercado
315,Cintia Castro,Chaco,Presidencia Roque Sáenz Peña,distribuidor
316,José Rojas,Formosa,Laguna Blanca,supermercado
317,Hernán Suárez,Formosa,Herradura,distribuidor
318,Julieta Suárez,Corrientes,Bella Vista,distribuidor
319,Elena Suárez,Corrientes,Bella Vista,distribuidor
320,Sofía Vera,Formosa,Las Lomitas,kiosco
321,Laura Vera,Misiones,Oberá,kiosco
322,Romina Medina,Misiones,Aristóbulo del Valle,restaurante
323,Ana Gómez,Misiones,Leandro N. Alem,supermercado
324,Hernán Vera,Corrientes,Saladas,kiosco
325,Elena Silva,Formosa,Ibarreta,almacén
326,Cintia Duarte,Chaco,Barranqueras,distribuidor
327,Noelia Sosa,Formosa,Clorinda,supermercado
328,Hernán García,Formosa,Comandante Fontana,distribuidor
329,Ariel Villalba,Misiones,Jardín América,kiosco
330,Ariel Pérez,Corrientes,Ituzaingó,distribuidor
331,Nadia García,Misiones,Apóstoles,almacén
332,Brenda Franco,Misiones,Puerto Iguazú,almacén
333,Agustín Sosa,Chaco,Resistencia,distribuidor
334,Elena Duarte,Chaco,Villa Ángela,almacén
335,Luis Domínguez,Chaco,Resistencia,restaurante
336,Cintia Vera,Formosa,Pirané,kiosco
337,José Gutiérrez,Formosa,Ibarreta,kiosco
338,Laura García,Chaco,Puerto Vilelas,supermercado
339,Laura Duarte,Misiones,Oberá,kiosco
340,Laura Villalba,Formosa,Comandante Fontana,supermercado
341,Luis Gómez,Formosa,Las Lomitas,almacén
342,Esteban Suárez,Formosa,Ibarreta,supermercado
343,Brenda Ramírez,Misiones,Eldorado,almacén
344,Nadia Valdez,Misiones,Eldorado,supermercado
345,Daniel Ramírez,Corrientes,Paso de los Libres,restaurante
346,Aldana Romero,Misiones,Jardín América,kiosco
347,Mario Álvarez,Corrientes,Paso de los Libres,distribuidor
348,Ariel Cardozo,Formosa,Formosa,supermercado
349,Nadia Sosa,Misiones,Posadas,almacén
350,Valeria Franco,Chaco,Quitilipi,distribuidor
351,Maximiliano Ramírez,Chaco,General San Martín,kiosco
352,Pablo Cardozo,Chaco,Quitilipi,supermercado
353,Nadia Romero,Misiones,Eldorado,supermercado
354,Hernán Cardozo,Corrientes,Mercedes,distribuidor
355,Ivana López,Chaco,Fontana,supermercado
356,Jorge Vera,Corrientes,Esquina,almacén
357,Pablo Duarte,Corrientes,Saladas,kiosco
358,Laura Medina,Corrientes,Bella Vista,distribuidor
359,Dario Álvarez,Corrientes,Mercedes,supermercado
360,Luis Sosa,Misiones,San Vicente,distribuidor
361,José Fernández,Corrientes,Curuzú Cuatiá,almacén
362,Diego Fernández,Corrientes,Curuzú Cuatiá,supermercado
363,Federico Molina,Corrientes,Paso de los Libres,restaurante
364,Elena Vera,Corrientes,Bella Vista,supermercado
365,Cintia Pérez,Misiones,San Vicente,distribuidor
366,Juan Valdez,Corrientes,Bella Vista,distribuidor
367,Ariel Martínez,Corrientes,Corrientes,restaurante
368,Ana García,Formosa,Comandante Fontana,restaurante
369,Rocío Pérez,Chaco,Barranqueras,restaurante
370,Agustín Martínez,Formosa,Las Lomitas,kiosco
371,Brenda Romero,Formosa,Herradura,almacén
372,Federico Benítez,Chaco,Puerto Vilelas,almacén
373,Romina Sosa,Corrientes,Curuzú Cuatiá,supermercado
374,Marta Villalba,Formosa,Laguna Blanca,restaurante
375,Federico Martínez,Formosa,Formosa,almacén
376,Esteban Torres,Misiones,Leandro N. Alem,supermercado
377,Daniel Sosa,Corrientes,Mercedes,almacén
378,Romina Romero,Corrientes,Virásoro,almacén
379,Daniel López,Chaco,Fontana,almacén
380,Juan Suárez,Misiones,Jardín América,kiosco
381,Dario Molina,Corrientes,Corrientes,restaurante
382,Diego Romero,Formosa,Pirané,supermercado
383,Carlos Fernández,Chaco,Charata,restaurante
384,Elena Domínguez,Formosa,Riacho He-Hé,kiosco
385,Daniel Cardozo,Chaco,Charata,restaurante
386,Nicolás Villalba,Misiones,Posadas,almacén
387,Rocío Álvarez,Misiones,Oberá,kiosco
388,Dario Silva,Chaco,Puerto Vilelas,kiosco
389,Gabriel Gómez,Corrientes,Paso de los Libres,distribuidor
390,Juan Pérez,Chaco,Charata,restaurante
391,Elena Domínguez,Misiones,Jardín América,distribuidor
392,Ana Acosta,Formosa,El Colorado,supermercado
393,Ana Cardozo,Chaco,General San Martín,restaurante
394,Valeria Silva,Formosa,Las Lomitas,almacén
395,Julieta Castro,Misiones,Posadas,supermercado
396,Elena Franco,Formosa,Las Lomitas,restaurante
397,Laura Suárez,Formosa,Clorinda,distribuidor
398,Agustín Valdez,Corrientes,Saladas,restaurante
399,Federico Vera,Misiones,Aristóbulo del Valle,supermercado
400,Cintia García,Chaco,Quitilipi,kiosco
401,Mario Cardozo,Chaco,Quitilipi,supermercado
402,Cintia Medina,Formosa,Herradura,supermercado
403,Brenda Torres,Misiones,San Vicente,almacén
404,Esteban Pérez,Misiones,Jardín América,kiosco
405,José Torres,Misiones,Oberá,distribuidor
406,Ariel Romero,Chaco,Puerto Vilelas,restaurante
407,Valeria Benítez,Misiones,Leandro N. Alem,kiosco
408,Noelia Molina,Chaco,General San Martín,kiosco
409,Pablo Gómez,Corrientes,Curuzú Cuatiá,kiosco
410,Rocío López,Chaco,Resistencia,restaurante
411,Daniel Duarte,Misiones,Leandro N. Alem,distribuidor
412,Florencia Domínguez,Corrientes,Bella Vista,distribuidor
413,Lucía Duarte,Misiones,Jardín América,supermercado
414,Gabriel Franco,Misiones,Eldorado,distribuidor
415,Laura García,Formosa,El Colorado,distribuidor
416,Maximiliano Molina,Misiones,San Vicente,distribuidor
417,Sofía Romero,Chaco,Resistencia,restaurante
418,María López,Misiones,Oberá,distribuidor
419,Daniel Benítez,Chaco,Las Breñas,supermercado
420,Maximiliano Villalba,Misiones,Puerto Iguazú,restaurante
421,Noelia Duarte,Formosa,Formosa,kiosco
422,Ivana Aguirre,Chaco,Fontana,almacén
423,Laura Fernández,Chaco,Charata,almacén
424,Dario Aguirre,Chaco,Charata,supermercado
425,Marta Molina,Corrientes,Esquina,supermercado
426,Ana Acosta,Chaco,Las Breñas,supermercado
427,Pablo García,Chaco,Presidencia Roque Sáenz Peña,distribuidor
428,Jorge Domínguez,Formosa,Laguna Blanca,restaurante
429,Gabriel Romero,Chaco,Resistencia,kiosco
430,Sofía Flores,Misiones,Puerto Iguazú,kiosco
431,Ana Molina,Misiones,Aristóbulo del Valle,restaurante
432,María Cardozo,Formosa,Comandante Fontana,supermercado
433,Laura Molina,Misiones,San Vicente,distribuidor
434,Daniel López,Corrientes,Esquina,distribuidor
435,Julieta García,Formosa,Formosa,almacén
436,Damián Suárez,Formosa,Ibarreta,kiosco
437,Laura Flores,Misiones,Oberá,restaurante
438,Dario Cardozo,Corrientes,Mercedes,restaurante
439,Dario Valdez,Corrientes,Mercedes,almacén
440,Marta Sosa,Corrientes,Goya,restaurante
441,Luis Suárez,Chaco,Puerto Vilelas,almacén
442,Agustín López,Misiones,San Vicente,restaurante
443,Aldana López,Formosa,Pirané,restaurante
444,Carlos Flores,Corrientes,Esquina,kiosco
445,Pablo García,Corrientes,Virásoro,distribuidor
446,María Villalba,Chaco,Puerto Vilelas,restaurante
447,Daniel Rojas,Chaco,Puerto Vilelas,distribuidor
448,Aldana Castro,Misiones,Montecarlo,restaurante
449,Sofía Fernández,Corrientes,Ituzaingó,restaurante
450,Florencia García,Misiones,Jardín América,kiosco
451,Luis Ramírez,Misiones,Eldorado,almacén
452,José Álvarez,Formosa,Laguna Blanca,restaurante
453,Daniel Martínez,Formosa,Herradura,restaurante
454,Luis Vera,Misiones,Leandro N. Alem,restaurante
455,Damián Martínez,Formosa,Formosa,distribuidor
456,Ivana Valdez,Corrientes,Paso de los Libres,kiosco
457,Carlos Gutiérrez,Formosa,El Colorado,restaurante
458,José Valdez,Formosa,Ibarreta,supermercado
459,María Medina,Corrientes,Esquina,restaurante
460,Daniel Romero,Chaco,Barranqueras,supermercado
461,Ezequiel Valdez,Chaco,Charata,restaurante
462,Romina Pérez,Misiones,Puerto Iguazú,distribuidor
463,Dario Fernández,Formosa,Comandante Fontana,restaurante
464,Aldana Cardozo,Corrientes,Saladas,restaurante
465,Nadia Suárez,Corrientes,Mercedes,restaurante
466,Nadia Flores,Corrientes,Ituzaingó,distribuidor
467,Noelia Vera,Corrientes,Goya,almacén
468,Lucía Gómez,Formosa,Formosa,supermercado
469,Luis Gutiérrez,Chaco,Las Breñas,almacén
470,Valeria Domínguez,Misiones,San Vicente,restaurante
471,Mario Gutiérrez,Corrientes,Paso de los Libres,supermercado
472,Maximiliano Vera,Corrientes,Virásoro,kiosco
473,María Castro,Formosa,El Colorado,restaurante
474,Marta Fernández,Formosa,Las Lomitas,supermercado
475,Julieta Suárez,Misiones,Puerto Iguazú,kiosco
476,Hernán Villalba,Corrientes,Goya,kiosco
477,Romina Romero,Corrientes,Corrientes,almacén
478,Damián Vera,Formosa,Riacho He-Hé,kiosco
479,Marta Castro,Misiones,Posadas,distribuidor
480,María López,Corrientes,Paso de los Libres,almacén
481,Ana Suárez,Corrientes,Mercedes,restaurante
482,Lucía Valdez,Formosa,Las Lomitas,almacén
483,Julieta Villalba,Chaco,Presidencia Roque Sáenz Peña,distribuidor
484,Sofía Fernández,Misiones,San Vicente,almacén
485,Nadia Torres,Misiones,Apóstoles,distribuidor
486,Ariel Gutiérrez,Chaco,General San Martín,distribuidor
487,Laura Medina,Chaco,Barranqueras,kiosco
488,Maximiliano García,Corrientes,Corrientes,restaurante
489,María Silva,Corrientes,Mercedes,kiosco
490,Ana Silva,Misiones,Aristóbulo del Valle,distribuidor
491,Valeria Acosta,Formosa,Ibarreta,kiosco
492,Romina Cardozo,Corrientes,Mercedes,distribuidor
493,Juan Pérez,Corrientes,Ituzaingó,almacén
494,Marta Aguirre,Misiones,San Vicente,kiosco
495,José Romero,Chaco,Quitilipi,kiosco
496,Lucía López,Chaco,Presidencia Roque Sáenz Peña,distribuidor
497,Marta Cardozo,Chaco,Barranqueras,restaurante
498,Diego Villalba,Misiones,Apóstoles,supermercado
499,Ivana Sosa,Misiones,San Vicente,restaurante
500,María Gómez,Chaco,Las Breñas,almacén
501,Esteban Suárez,Chaco,Puerto Vilelas,almacén
